English VP,Japanese VP
write,かく (kaku)
wrote,かいた (kaita)
will write,かく (kaku)
doesn't write,かかない (kakanai)
didn't write,かかなかった (kakanakatta)
won't write,かかない (kakanai)
writing,かいている (kaiteiru)
was writing,かいていた (kaiteita)
will be writing,かいている (kaiteiru)
not writing,かいていない (kaiteinai)
was not writing,かいていなかった (kaiteinakatta)
will not be writing,かいていない (kaiteinai)
have wrote,かいた (kaita)
had wrote,かいた (kaita)
will have wrote,かく (kaku)
have not wrote,かかなかった (kakanakatta)
had not wrote,かかなかった (kakanakatta)
will have not wrote,かかない (kakanai)
have being writing,かいている (kaiteiru)
had been writing,かいていた (kaiteita)
will have been writing,かいている (kaiteiru)
have not being writing,かいていない (kaiteinai)
had not been writing,かいていなかった (kaiteinakatta)
will have not been writing,かいていない (kaiteinai)
draw,かく (kaku)
drew,かいた (kaita)
will draw,かく (kaku)
doesn't draw,かかない (kakanai)
didn't draw,かかなかった (kakanakatta)
won't draw,かかない (kakanai)
drawing,かいている (kaiteiru)
was drawing,かいていた (kaiteita)
will be drawing,かいている (kaiteiru)
not drawing,かいていない (kaiteinai)
was not drawing,かいていなかった (kaiteinakatta)
will not be drawing,かいていない (kaiteinai)
have drew,かいた (kaita)
had drew,かいた (kaita)
will have drew,かく (kaku)
have not drew,かかなかった (kakanakatta)
had not drew,かかなかった (kakanakatta)
will have not drew,かかない (kakanai)
have being drawing,かいている (kaiteiru)
had been drawing,かいていた (kaiteita)
will have been drawing,かいている (kaiteiru)
have not being drawing,かいていない (kaiteinai)
had not been drawing,かいていなかった (kaiteinakatta)
will have not been drawing,かいていない (kaiteinai)
show,みせる (miseru)
showed,みせた (miseta)
will show,みせる (miseru)
doesn't show,みせない (misenai)
didn't show,みせなかった (misenakatta)
won't show,みせない (misenai)
showing,みせている (miseteiru)
was showing,みせていた (miseteita)
will be showing,みせている (miseteiru)
not showing,みせていない (miseteinai)
was not showing,みせていなかった (miseteinakatta)
will not be showing,みせていない (miseteinai)
have showed,みせた (miseta)
had showed,みせた (miseta)
will have showed,みせる (miseru)
have not showed,みせなかった (misenakatta)
had not showed,みせなかった (misenakatta)
will have not showed,みせない (misenai)
have being showing,みせている (miseteiru)
had been showing,みせていた (miseteita)
will have been showing,みせている (miseteiru)
have not being showing,みせていない (miseteinai)
had not been showing,みせていなかった (miseteinakatta)
will have not been showing,みせていない (miseteinai)
send,おくる (okuru)
sent,おくった (okutta)
will send,おくる (okuru)
doesn't send,おくらない (okuranai)
didn't send,おくらなかった (okuranakatta)
won't send,おくらない (okuranai)
sending,おくっている (okutteiru)
was sending,おくっていた (okutteita)
will be sending,おくっている (okutteiru)
not sending,おくっていない (okutteinai)
was not sending,おくっていなかった (okutteinakatta)
will not be sending,おくっていない (okutteinai)
have sent,おくった (okutta)
had sent,おくった (okutta)
will have sent,おくる (okuru)
have not sent,おくらなかった (okuranakatta)
had not sent,おくらなかった (okuranakatta)
will have not sent,おくらない (okuranai)
have being sending,おくっている (okutteiru)
had been sending,おくっていた (okutteita)
will have been sending,おくっている (okutteiru)
have not being sending,おくっていない (okutteinai)
had not been sending,おくっていなかった (okutteinakatta)
will have not been sending,おくっていない (okutteinai)
go,いく (iku)
went,いった (itta)
will go,いく (iku)
doesn't go,いかない (ikanai)
didn't go,いかなかった (ikanakatta)
won't go,いかない (ikanai)
going,いっている (itteiru)
was going,いっていた (itteita)
will be going,いっている (itteiru)
not going,いっていない (itteinai)
was not going,いっていなかった (itteinakatta)
will not be going,いっていない (itteinai)
have went,いった (itta)
had went,いった (itta)
will have went,いく (iku)
have not went,いかなかった (ikanakatta)
had not went,いかなかった (ikanakatta)
will have not went,いかない (ikanai)
have being going,いっている (itteiru)
had been going,いっていた (itteita)
will have been going,いっている (itteiru)
have not being going,いっていない (itteinai)
had not been going,いっていなかった (itteinakatta)
will have not been going,いっていない (itteinai)
meet,あう (au)
met,あった (atta)
will meet,あう (au)
doesn't meet,あわない (awanai)
didn't meet,あわなかった (awanakatta)
won't meet,あわない (awanai)
meeting,あっている (atteiru)
was meeting,あっていた (atteita)
will be meeting,あっている (atteiru)
not meeting,あっていない (atteinai)
was not meeting,あっていなかった (atteinakatta)
will not be meeting,あっていない (atteinai)
have met,あった (atta)
had met,あった (atta)
will have met,あう (au)
have not met,あわなかった (awanakatta)
had not met,あわなかった (awanakatta)
will have not met,あわない (awanai)
have being meeting,あっている (atteiru)
had been meeting,あっていた (atteita)
will have been meeting,あっている (atteiru)
have not being meeting,あっていない (atteinai)
had not been meeting,あっていなかった (atteinakatta)
will have not been meeting,あっていない (atteinai)
make,つくる (tsukuru)
made,つくった (tsukutta)
will make,つくる (tsukuru)
doesn't make,つくらない (tsukuranai)
didn't make,つくらなかった (tsukuranakatta)
won't make,つくらない (tsukuranai)
making,つくっている (tsukutteiru)
was making,つくっていた (tsukutteita)
will be making,つくっている (tsukutteiru)
not making,つくっていない (tsukutteinai)
was not making,つくっていなかった (tsukutteinakatta)
will not be making,つくっていない (tsukutteinai)
have made,つくった (tsukutta)
had made,つくった (tsukutta)
will have made,つくる (tsukuru)
have not made,つくらなかった (tsukuranakatta)
had not made,つくらなかった (tsukuranakatta)
will have not made,つくらない (tsukuranai)
have being making,つくっている (tsukutteiru)
had been making,つくっていた (tsukutteita)
will have been making,つくっている (tsukutteiru)
have not being making,つくっていない (tsukutteinai)
had not been making,つくっていなかった (tsukutteinakatta)
will have not been making,つくっていない (tsukutteinai)
produce,つくる (tsukuru)
produced,つくった (tsukutta)
will produce,つくる (tsukuru)
doesn't produce,つくらない (tsukuranai)
didn't produce,つくらなかった (tsukuranakatta)
won't produce,つくらない (tsukuranai)
producing,つくっている (tsukutteiru)
was producing,つくっていた (tsukutteita)
will be producing,つくっている (tsukutteiru)
not producing,つくっていない (tsukutteinai)
was not producing,つくっていなかった (tsukutteinakatta)
will not be producing,つくっていない (tsukutteinai)
have produced,つくった (tsukutta)
had produced,つくった (tsukutta)
will have produced,つくる (tsukuru)
have not produced,つくらなかった (tsukuranakatta)
had not produced,つくらなかった (tsukuranakatta)
will have not produced,つくらない (tsukuranai)
have being producing,つくっている (tsukutteiru)
had been producing,つくっていた (tsukutteita)
will have been producing,つくっている (tsukutteiru)
have not being producing,つくっていない (tsukutteinai)
had not been producing,つくっていなかった (tsukutteinakatta)
will have not been producing,つくっていない (tsukutteinai)
return,かえる (kaeru)
returned,かえた (kaeta)
will return,かえる (kaeru)
doesn't return,かえない (kaenai)
didn't return,かえなかった (kaenakatta)
won't return,かえない (kaenai)
returning,かえている (kaeteiru)
was returning,かえていた (kaeteita)
will be returning,かえている (kaeteiru)
not returning,かえていない (kaeteinai)
was not returning,かえていなかった (kaeteinakatta)
will not be returning,かえていない (kaeteinai)
have returned,かえた (kaeta)
had returned,かえた (kaeta)
will have returned,かえる (kaeru)
have not returned,かえなかった (kaenakatta)
had not returned,かえなかった (kaenakatta)
will have not returned,かえない (kaenai)
have being returning,かえている (kaeteiru)
had been returning,かえていた (kaeteita)
will have been returning,かえている (kaeteiru)
have not being returning,かえていない (kaeteinai)
had not been returning,かえていなかった (kaeteinakatta)
will have not been returning,かえていない (kaeteinai)
increase,ふえる (fueru)
increased,ふえた (fueta)
will increase,ふえる (fueru)
doesn't increase,ふえない (fuenai)
didn't increase,ふえなかった (fuenakatta)
won't increase,ふえない (fuenai)
increasing,ふえている (fueteiru)
was increasing,ふえていた (fueteita)
will be increasing,ふえている (fueteiru)
not increasing,ふえていない (fueteinai)
was not increasing,ふえていなかった (fueteinakatta)
will not be increasing,ふえていない (fueteinai)
have increased,ふえた (fueta)
had increased,ふえた (fueta)
will have increased,ふえる (fueru)
have not increased,ふえなかった (fuenakatta)
had not increased,ふえなかった (fuenakatta)
will have not increased,ふえない (fuenai)
have being increasing,ふえている (fueteiru)
had been increasing,ふえていた (fueteita)
will have been increasing,ふえている (fueteiru)
have not being increasing,ふえていない (fueteinai)
had not been increasing,ふえていなかった (fueteinakatta)
will have not been increasing,ふえていない (fueteinai)
decrease,へる (heru)
decreased,へった (hetta)
will decrease,へる (heru)
doesn't decrease,へらない (heranai)
didn't decrease,へらなかった (heranakatta)
won't decrease,へらない (heranai)
decreasing,へっている (hetteiru)
was decreasing,へっていた (hetteita)
will be decreasing,へっている (hetteiru)
not decreasing,へっていない (hetteinai)
was not decreasing,へっていなかった (hetteinakatta)
will not be decreasing,へっていない (hetteinai)
have decreased,へった (hetta)
had decreased,へった (hetta)
will have decreased,へる (heru)
have not decreased,へらなかった (heranakatta)
had not decreased,へらなかった (heranakatta)
will have not decreased,へらない (heranai)
have being decreasing,へっている (hetteiru)
had been decreasing,へっていた (hetteita)
will have been decreasing,へっている (hetteiru)
have not being decreasing,へっていない (hetteinai)
had not been decreasing,へっていなかった (hetteinakatta)
will have not been decreasing,へっていない (hetteinai)
learn,ならう (narau)
learned,ならった (naratta)
will learn,ならう (narau)
doesn't learn,ならわない (narawanai)
didn't learn,ならわなかった (narawanakatta)
won't learn,ならわない (narawanai)
learning,ならっている (naratteiru)
was learning,ならっていた (naratteita)
will be learning,ならっている (naratteiru)
not learning,ならっていない (naratteinai)
was not learning,ならっていなかった (naratteinakatta)
will not be learning,ならっていない (naratteinai)
have learned,ならった (naratta)
had learned,ならった (naratta)
will have learned,ならう (narau)
have not learned,ならわなかった (narawanakatta)
had not learned,ならわなかった (narawanakatta)
will have not learned,ならわない (narawanai)
have being learning,ならっている (naratteiru)
had been learning,ならっていた (naratteita)
will have been learning,ならっている (naratteiru)
have not being learning,ならっていない (naratteinai)
had not been learning,ならっていなかった (naratteinakatta)
will have not been learning,ならっていない (naratteinai)
memorize,おぼえる (oboeru)
memorized,おぼえた (oboeta)
will memorize,おぼえる (oboeru)
doesn't memorize,おぼえない (oboenai)
didn't memorize,おぼえなかった (oboenakatta)
won't memorize,おぼえない (oboenai)
memorizing,おぼえている (oboeteiru)
was memorizing,おぼえていた (oboeteita)
will be memorizing,おぼえている (oboeteiru)
not memorizing,おぼえていない (oboeteinai)
was not memorizing,おぼえていなかった (oboeteinakatta)
will not be memorizing,おぼえていない (oboeteinai)
have memorized,おぼえた (oboeta)
had memorized,おぼえた (oboeta)
will have memorized,おぼえる (oboeru)
have not memorized,おぼえなかった (oboenakatta)
had not memorized,おぼえなかった (oboenakatta)
will have not memorized,おぼえない (oboenai)
have being memorizing,おぼえている (oboeteiru)
had been memorizing,おぼえていた (oboeteita)
will have been memorizing,おぼえている (oboeteiru)
have not being memorizing,おぼえていない (oboeteinai)
had not been memorizing,おぼえていなかった (oboeteinakatta)
will have not been memorizing,おぼえていない (oboeteinai)
teach,おしえる (oshieru)
taught,おしえた (oshieta)
will teach,おしえる (oshieru)
doesn't teach,おしえない (oshienai)
didn't teach,おしえなかった (oshienakatta)
won't teach,おしえない (oshienai)
teaching,おしえている (oshieteiru)
was teaching,おしえていた (oshieteita)
will be teaching,おしえている (oshieteiru)
not teaching,おしえていない (oshieteinai)
was not teaching,おしえていなかった (oshieteinakatta)
will not be teaching,おしえていない (oshieteinai)
have taught,おしえた (oshieta)
had taught,おしえた (oshieta)
will have taught,おしえる (oshieru)
have not taught,おしえなかった (oshienakatta)
had not taught,おしえなかった (oshienakatta)
will have not taught,おしえない (oshienai)
have being teaching,おしえている (oshieteiru)
had been teaching,おしえていた (oshieteita)
will have been teaching,おしえている (oshieteiru)
have not being teaching,おしえていない (oshieteinai)
had not been teaching,おしえていなかった (oshieteinakatta)
will have not been teaching,おしえていない (oshieteinai)
notify,おしえる (oshieru)
notified,おしえた (oshieta)
will notify,おしえる (oshieru)
doesn't notify,おしえない (oshienai)
didn't notify,おしえなかった (oshienakatta)
won't notify,おしえない (oshienai)
notifying,おしえている (oshieteiru)
was notifying,おしえていた (oshieteita)
will be notifying,おしえている (oshieteiru)
not notifying,おしえていない (oshieteinai)
was not notifying,おしえていなかった (oshieteinakatta)
will not be notifying,おしえていない (oshieteinai)
have notified,おしえた (oshieta)
had notified,おしえた (oshieta)
will have notified,おしえる (oshieru)
have not notified,おしえなかった (oshienakatta)
had not notified,おしえなかった (oshienakatta)
will have not notified,おしえない (oshienai)
have being notifying,おしえている (oshieteiru)
had been notifying,おしえていた (oshieteita)
will have been notifying,おしえている (oshieteiru)
have not being notifying,おしえていない (oshieteinai)
had not been notifying,おしえていなかった (oshieteinakatta)
will have not been notifying,おしえていない (oshieteinai)
check,しらべる (shiraberu)
checked,しらべた (shirabeta)
will check,しらべる (shiraberu)
doesn't check,しらべない (shirabenai)
didn't check,しらべなかった (shirabenakatta)
won't check,しらべない (shirabenai)
checking,しらべている (shirabeteiru)
was checking,しらべていた (shirabeteita)
will be checking,しらべている (shirabeteiru)
not checking,しらべていない (shirabeteinai)
was not checking,しらべていなかった (shirabeteinakatta)
will not be checking,しらべていない (shirabeteinai)
have checked,しらべた (shirabeta)
had checked,しらべた (shirabeta)
will have checked,しらべる (shiraberu)
have not checked,しらべなかった (shirabenakatta)
had not checked,しらべなかった (shirabenakatta)
will have not checked,しらべない (shirabenai)
have being checking,しらべている (shirabeteiru)
had been checking,しらべていた (shirabeteita)
will have been checking,しらべている (shirabeteiru)
have not being checking,しらべていない (shirabeteinai)
had not been checking,しらべていなかった (shirabeteinakatta)
will have not been checking,しらべていない (shirabeteinai)
forget,わすれる (wasureru)
forgot,わすれた (wasureta)
will forget,わすれる (wasureru)
doesn't forget,わすれない (wasurenai)
didn't forget,わすれなかった (wasurenakatta)
won't forget,わすれない (wasurenai)
forgeting,わすれている (wasureteiru)
was forgeting,わすれていた (wasureteita)
will be forgeting,わすれている (wasureteiru)
not forgeting,わすれていない (wasureteinai)
was not forgeting,わすれていなかった (wasureteinakatta)
will not be forgeting,わすれていない (wasureteinai)
have forgot,わすれた (wasureta)
had forgot,わすれた (wasureta)
will have forgot,わすれる (wasureru)
have not forgot,わすれなかった (wasurenakatta)
had not forgot,わすれなかった (wasurenakatta)
will have not forgot,わすれない (wasurenai)
have being forgeting,わすれている (wasureteiru)
had been forgeting,わすれていた (wasureteita)
will have been forgeting,わすれている (wasureteiru)
have not being forgeting,わすれていない (wasureteinai)
had not been forgeting,わすれていなかった (wasureteinakatta)
will have not been forgeting,わすれていない (wasureteinai)
escape,にげる (nigeru)
escaped,にげた (nigeta)
will escape,にげる (nigeru)
doesn't escape,にげない (nigenai)
didn't escape,にげなかった (nigenakatta)
won't escape,にげない (nigenai)
escaping,にげている (nigeteiru)
was escaping,にげていた (nigeteita)
will be escaping,にげている (nigeteiru)
not escaping,にげていない (nigeteinai)
was not escaping,にげていなかった (nigeteinakatta)
will not be escaping,にげていない (nigeteinai)
have escaped,にげた (nigeta)
had escaped,にげた (nigeta)
will have escaped,にげる (nigeru)
have not escaped,にげなかった (nigenakatta)
had not escaped,にげなかった (nigenakatta)
will have not escaped,にげない (nigenai)
have being escaping,にげている (nigeteiru)
had been escaping,にげていた (nigeteita)
will have been escaping,にげている (nigeteiru)
have not being escaping,にげていない (nigeteinai)
had not been escaping,にげていなかった (nigeteinakatta)
will have not been escaping,にげていない (nigeteinai)
start,はじめる (hajimeru)
started,はじめた (hajimeta)
will start,はじめる (hajimeru)
doesn't start,はじめない (hajimenai)
didn't start,はじめなかった (hajimenakatta)
won't start,はじめない (hajimenai)
starting,はじめている (hajimeteiru)
was starting,はじめていた (hajimeteita)
will be starting,はじめている (hajimeteiru)
not starting,はじめていない (hajimeteinai)
was not starting,はじめていなかった (hajimeteinakatta)
will not be starting,はじめていない (hajimeteinai)
have started,はじめた (hajimeta)
had started,はじめた (hajimeta)
will have started,はじめる (hajimeru)
have not started,はじめなかった (hajimenakatta)
had not started,はじめなかった (hajimenakatta)
will have not started,はじめない (hajimenai)
have being starting,はじめている (hajimeteiru)
had been starting,はじめていた (hajimeteita)
will have been starting,はじめている (hajimeteiru)
have not being starting,はじめていない (hajimeteinai)
had not been starting,はじめていなかった (hajimeteinakatta)
will have not been starting,はじめていない (hajimeteinai)
shoot,うつ (utsu)
shooted,うった (utta)
will shoot,うつ (utsu)
doesn't shoot,うたない (utanai)
didn't shoot,うたなかった (utanakatta)
won't shoot,うたない (utanai)
shooting,うっている (utteiru)
was shooting,うっていた (utteita)
will be shooting,うっている (utteiru)
not shooting,うっていない (utteinai)
was not shooting,うっていなかった (utteinakatta)
will not be shooting,うっていない (utteinai)
have shooted,うった (utta)
had shooted,うった (utta)
will have shooted,うつ (utsu)
have not shooted,うたなかった (utanakatta)
had not shooted,うたなかった (utanakatta)
will have not shooted,うたない (utanai)
have being shooting,うっている (utteiru)
had been shooting,うっていた (utteita)
will have been shooting,うっている (utteiru)
have not being shooting,うっていない (utteinai)
had not been shooting,うっていなかった (utteinakatta)
will have not been shooting,うっていない (utteinai)
laugh,わらう (warau)
laughed,わらった (waratta)
will laugh,わらう (warau)
doesn't laugh,わらわない (warawanai)
didn't laugh,わらわなかった (warawanakatta)
won't laugh,わらわない (warawanai)
laughing,わらっている (waratteiru)
was laughing,わらっていた (waratteita)
will be laughing,わらっている (waratteiru)
not laughing,わらっていない (waratteinai)
was not laughing,わらっていなかった (waratteinakatta)
will not be laughing,わらっていない (waratteinai)
have laughed,わらった (waratta)
had laughed,わらった (waratta)
will have laughed,わらう (warau)
have not laughed,わらわなかった (warawanakatta)
had not laughed,わらわなかった (warawanakatta)
will have not laughed,わらわない (warawanai)
have being laughing,わらっている (waratteiru)
had been laughing,わらっていた (waratteita)
will have been laughing,わらっている (waratteiru)
have not being laughing,わらっていない (waratteinai)
had not been laughing,わらっていなかった (waratteinakatta)
will have not been laughing,わらっていない (waratteinai)
suck,すう (suu)
sucked,すった (sutta)
will suck,すう (suu)
doesn't suck,すわない (suwanai)
didn't suck,すわなかった (suwanakatta)
won't suck,すわない (suwanai)
sucking,すっている (sutteiru)
was sucking,すっていた (sutteita)
will be sucking,すっている (sutteiru)
not sucking,さないっていない (sanaitteinai)
was not sucking,さっていなかった (satteinakatta)
will not be sucking,さないっていない (sanaitteinai)
have sucked,すった (sutta)
had sucked,すった (sutta)
will have sucked,すう (suu)
have not sucked,すわなかった (suwanakatta)
had not sucked,すわなかった (suwanakatta)
will have not sucked,すわない (suwanai)
have being sucking,すっている (sutteiru)
had been sucking,すっていた (sutteita)
will have been sucking,すっている (sutteiru)
have not being sucking,さないっていない (sanaitteinai)
had not been sucking,さっていなかった (satteinakatta)
will have not been sucking,さないっていない (sanaitteinai)
cry,なく (naku)
cried,ないた (naita)
will cry,なく (naku)
doesn't cry,なかない (nakanai)
didn't cry,なかなかった (nakanakatta)
won't cry,なかない (nakanai)
crying,ないている (naiteiru)
was crying,ないていた (naiteita)
will be crying,ないている (naiteiru)
not crying,ないていない (naiteinai)
was not crying,ないていなかった (naiteinakatta)
will not be crying,ないていない (naiteinai)
have cried,ないた (naita)
had cried,ないた (naita)
will have cried,なく (naku)
have not cried,なかなかった (nakanakatta)
had not cried,なかなかった (nakanakatta)
will have not cried,なかない (nakanai)
have being crying,ないている (naiteiru)
had been crying,ないていた (naiteita)
will have been crying,ないている (naiteiru)
have not being crying,ないていない (naiteinai)
had not been crying,ないていなかった (naiteinakatta)
will have not been crying,ないていない (naiteinai)
finish,おわる (owaru)
finished,おわった (owatta)
will finish,おわる (owaru)
doesn't finish,おわらない (owaranai)
didn't finish,おわらなかった (owaranakatta)
won't finish,おわらない (owaranai)
finishing,おわっている (owatteiru)
was finishing,おわっていた (owatteita)
will be finishing,おわっている (owatteiru)
not finishing,おわっていない (owatteinai)
was not finishing,おわっていなかった (owatteinakatta)
will not be finishing,おわっていない (owatteinai)
have finished,おわった (owatta)
had finished,おわった (owatta)
will have finished,おわる (owaru)
have not finished,おわらなかった (owaranakatta)
had not finished,おわらなかった (owaranakatta)
will have not finished,おわらない (owaranai)
have being finishing,おわっている (owatteiru)
had been finishing,おわっていた (owatteita)
will have been finishing,おわっている (owatteiru)
have not being finishing,おわっていない (owatteinai)
had not been finishing,おわっていなかった (owatteinakatta)
will have not been finishing,おわっていない (owatteinai)
open,あける (akeru)
opened,あけた (aketa)
will open,あける (akeru)
doesn't open,あけない (akenai)
didn't open,あけなかった (akenakatta)
won't open,あけない (akenai)
opening,あけている (aketeiru)
was opening,あけていた (aketeita)
will be opening,あけている (aketeiru)
not opening,あけていない (aketeinai)
was not opening,あけていなかった (aketeinakatta)
will not be opening,あけていない (aketeinai)
have opened,あけた (aketa)
had opened,あけた (aketa)
will have opened,あける (akeru)
have not opened,あけなかった (akenakatta)
had not opened,あけなかった (akenakatta)
will have not opened,あけない (akenai)
have being opening,あけている (aketeiru)
had been opening,あけていた (aketeita)
will have been opening,あけている (aketeiru)
have not being opening,あけていない (aketeinai)
had not been opening,あけていなかった (aketeinakatta)
will have not been opening,あけていない (aketeinai)
close,とじる (tojiru)
closed,とじた (tojita)
will close,とじる (tojiru)
doesn't close,とじない (tojinai)
didn't close,とじなかった (tojinakatta)
won't close,とじない (tojinai)
closing,とじている (tojiteiru)
was closing,とじていた (tojiteita)
will be closing,とじている (tojiteiru)
not closing,とじていない (tojiteinai)
was not closing,とじていなかった (tojiteinakatta)
will not be closing,とじていない (tojiteinai)
have closed,とじた (tojita)
had closed,とじた (tojita)
will have closed,とじる (tojiru)
have not closed,とじなかった (tojinakatta)
had not closed,とじなかった (tojinakatta)
will have not closed,とじない (tojinai)
have being closing,とじている (tojiteiru)
had been closing,とじていた (tojiteita)
will have been closing,とじている (tojiteiru)
have not being closing,とじていない (tojiteinai)
had not been closing,とじていなかった (tojiteinakatta)
will have not been closing,とじていない (tojiteinai)
win,かつ (katsu)
won,かった (katta)
will win,かつ (katsu)
doesn't win,かたない (katanai)
didn't win,かたなかった (katanakatta)
won't win,かたない (katanai)
winning,かっている (katteiru)
was winning,かっていた (katteita)
will be winning,かっている (katteiru)
not winning,かっていない (katteinai)
was not winning,かっていなかった (katteinakatta)
will not be winning,かっていない (katteinai)
have won,かった (katta)
had won,かった (katta)
will have won,かつ (katsu)
have not won,かたなかった (katanakatta)
had not won,かたなかった (katanakatta)
will have not won,かたない (katanai)
have being winning,かっている (katteiru)
had been winning,かっていた (katteita)
will have been winning,かっている (katteiru)
have not being winning,かっていない (katteinai)
had not been winning,かっていなかった (katteinakatta)
will have not been winning,かっていない (katteinai)
talk,はなす (hanasu)
talked,はなした (hanashita)
will talk,はなす (hanasu)
doesn't talk,はなさない (hanasanai)
didn't talk,はなさなかった (hanasanakatta)
won't talk,はなさない (hanasanai)
talking,はなしている (hanashiteiru)
was talking,はなしていた (hanashiteita)
will be talking,はなしている (hanashiteiru)
not talking,はなしていない (hanashiteinai)
was not talking,はなしていなかった (hanashiteinakatta)
